date,not_flattened,flattened,beds
2020-03-07,76,76,21010
2020-03-11,220,220,21010
2020-03-15,732,732,21010
2020-03-19,5360,5361,22060
2020-03-23,20769,20775,23163
2020-03-27,48888,34639,24322
2020-03-31,111019,56312,25538
2020-04-04,231190,87732,26814
2020-04-08,390700,127428,28155
2020-04-12,401125,165559,29563
2020-04-16,138675,182140,31041
2020-04-20,15295,160488,32593
2020-04-24,1290,110439,34223
2020-04-28,106,61331,35934
2020-05-02,9,29536,37731
2020-05-06,1,13175,39617
2020-05-10,0,5668,41598
2020-05-14,0,2400,43678
2020-05-18,0,1009,43678
2020-05-22,0,423,43678
2020-05-26,0,177,43678
2020-05-30,0,74,43678
2020-06-03,0,31,43678
2020-06-07,0,13,43678
2020-06-11,0,5,43678
2020-06-15,0,2,43678
2020-06-19,0,1,43678
2020-06-23,0,0,43678
2020-06-27,0,0,43678
